ID_STRUTTURA,PROVINCIA,NOME_COMUNE,DENOMINAZIONE_STRUTTURA,CATEGORIA,CLASSIFICAZIONE,INDIRIZZO,CAP,FRAZIONE,LOCALITA,EMAIL,TEL,FAX,WEB,CAMERE,SUITE,LETTI,BAGNI,PRIMA_COLAZIONE,IN_ABITATO,SUL_LAGO,VICINO_ELIPORTO,VICINO_AEREOPORTO,ZONA_CENTRALE,VICINO_IMP_RISALITA,ZONA_PERIFERICA,ZONA_STAZIONE_FS,ATTREZZATURE,ATTREZZATURE_CARTE,ATTREZZATURE_LINGUE,ATTREZZATURE_SPORT,ATTREZZATURE_CONGRESSI,geo_y,geo_x,location
101335045,MI,MILANO,HOTEL STRADIVARI,Alberghiere,Alberghi 3 stelle,VIA STRADIVARI 4,20131,,,hotelstradivari@gmail.com,02 36743240,,,14,,25,16,1,,,,,,,,,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassette sicurezza,Estintori,Internet point,Parcheggio custodito,Riscaldamento,Servizio in camera,Televisione satellitare,WI-FI in aree comuni",,"Arabo,Inglese,Russo,Spagnolo",,,9.21524539,45.48451459,"(45.48451459, 9.21524539)"
97660091,MI,MILANO,GOLDEN MILANO HOTEL,Alberghiere,Alberghi 3 stelle,VIA GOLDONI 84,20129,,,info@goldenhotelmilano.it,0297750111,,,8,,14,11,1,,,,,,,,,"Access. diversamente abili parziale,Accettazione animali domestici,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Riscaldamento,Sala televisione separata,Televisione satellitare,WI-FI in aree comuni","CartaSi,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Spagnolo",,,9.22229299,45.46934145,"(45.46934145, 9.22229299)"
76863241,MI,MILANO,H21,Alberghiere,Alberghi 3 stelle,VIA DEI VALTORTA 21,20100,,,info@h21milano.it,022619487,,,13,,22,13,,,,,,,,,,,,,,,9.22324357,45.49933735,"(45.49933735, 9.22324357)"
107797208,MI,MILANO,HOTEL MONFORTE 27,Alberghiere,Alberghi 4 stelle,CORSO MONFORTE 27,20122,,,info@indigomilano.it,02.38254,02.83623431,,51,5,107,54,,,,,,,,,,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione gruppi,Area fumatori,Aria condizionata centralizzata,Ascensore,Bar,Estintori,Lavaggio e stiratura biancheria,Parcheggio custodito,Riscaldamento,Ristorante,Sala accoglienza,Servizio congressi,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Bank Americard,CartaSi,Diners,JBC,Maestro,Master Card,Visa,Visa Electron","Francese,Inglese,Russo",Fitness/centro salute,"Congressi capacita' Max 50,Congressi capacita' Min 8",9.20176601,45.46712793,"(45.46712793, 9.20176601)"
9511703,MI,MILANO,PIERRE MILANO,Alberghiere,Alberghi 5 stelle,VIA EDMONDO DE AMICIS 32,20123,,,info@hotelpierremilano.it,02 72000581,02 8052157,www.hotelpierremilano.it (http://www.hotelpierremilano.it),47,7,84,47,1,1,,,,1,,,,"Access. diversamente abili parziale,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Pulizia calzature,Ristorante,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni",Tutte,"Francese,Inglese,Spagnolo,Tedesco",,"Congressi capacita' Max 35,Congressi capacita' Min 2,Numero sale congressi",9.17694952,45.45926913,"(45.45926913, 9.17694952)"
9537943,MI,MILANO,HOTEL SEVEN ROOMS MILANO,Alberghiere,Alberghi 2 stelle,VIA CORELLI 56,20134,,,info@sevenroomsmilano.com,02 70209906,02 71210319,www.sevenroomsmilano.com (http://www.sevenroomsmilano.com),7,,18,7,1,,,,,,,,,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Ascensore,Autorimessa,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Discoteca,Estintori,Internet point,Jacuzzi/Idromassaggio,Parcheggio custodito,Pompa rifornimento carburante,Riscaldamento,Servizio in camera,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,Carta Moneta,CartaSi,Key Client,Maestro,Master Card,Top Card,Visa,Visa Electron","Francese,Inglese,Spagnolo",,,9.25492629,45.47090154,"(45.47090154, 9.25492629)"
9514354,MI,MILANO,ENTERPRISE HOTEL,Alberghiere,Alberghi 4 stelle,CORSO SEMPIONE 91,20149,,,info@enterprisehotel.com,02 318181,02 31818811,www.enterprisehotel.com (http://www.enterprisehotel.com),119,2,232,137,,,,,,,,,,"Access. diversamente abili totale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Lavaggio e stiratura biancheria,Parco o giardino,Pulizia calzature,Ristorante,Ristorante vegetariano,Servizio congressi,Tavernetta o tavola calda,Trasporto clienti stazione",Tutte,"Francese,Inglese,Spagnolo,Tedesco",Fitness/centro salute,"Congressi capacita' Max 400,Congressi capacita' Min 10,Numero sale congressi 8",9.15753489,45.48677366,"(45.48677366, 9.15753489)"
9526144,MI,MILANO,HOTEL MILANO SCALA,Alberghiere,Alberghi 4 stelle,VIA DELL'ORSO 7,20121,,,info@hotelmilanoscala.it,02 870961,02 87096096,www.hotelmilanoscala.it (http://www.hotelmilanoscala.it),62,10,117,62,1,,,,,1,,,,"Access. diversamente abili parziale,Access. diversamente abili totale,Accesso a mezzi pubblici,Accettazione gruppi,Area fumatori,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Ecohotel,Estintori,Fitness/centro salute,Internet point,Jacuzzi/Idromassaggio,Lavaggio e stiratura biancheria,Parcheggio custodito,Pulizia calzature,Riscaldamento,Ristorante,Roof garden,Servizi baby sitting,Servizio congressi,Servizio in camera,Televisione satellitare,WI-FI in aree comuni","American express,Bancomat,CartaSi,Master Card,Visa,Visa Electron","Arabo,Francese,Greco,Inglese,Portoghese,Russo,Spagnolo,Tedesco",Fitness/centro salute,"Congressi capacita' Max 80,Congressi capacita' Min 6,Numero sale congressi 3",9.18649055,45.46905065,"(45.46905065, 9.18649055)"
9514140,MI,MILANO,LORETO,Alberghiere,Alberghi 2 stelle,VIA BAMBAIA 4,20131,,,info@hotelloreto.com,02 2613050,02 26145724,www.hotelloreto.com (http://www.hotelloreto.com),14,,23,15,1,,,,,,,,1,"Accesso a mezzi pubblici,Accettazione animali domestici,Accettazione gruppi,Bar,Custodia valori in cassaforte,Estintori,Riscaldamento,Sala televisione separata,Servizio in camera,WI-FI in aree comuni","American express,Bancomat,Bank Americard,Carta Moneta,CartaSi,Diners,JCV,Key Client,Maestro,Master Card,Visa,Visa Electron","Inglese,Rumeno,Russo",,,9.21921245,45.48689885,"(45.48689885, 9.21921245)"
9499158,MI,MILANO,NHOW,Alberghiere,Alberghi 4 stelle,VIA TORTONA 35,20144,,,milano@nhow-hotels.com,02 4898861,02 489886489,www.nh-hotels.com (http://www.nh-hotels.com),246,10,492,248,,,,,,1,,,1,"Access. diversamente abili parziale,Accesso a mezzi pubblici,Accesso a vetture private,Accettazione animali domestici,Accettazione gruppi,Aria condizionata centralizzata,Ascensore,Autorimessa,Bar,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Estintori,Internet point,Lavaggio e stiratura biancheria,Riscaldamento,Ristorante,Servizio congressi,Servizio in camera,SKY,Televisione satellitare,WI-FI in aree comuni","American express,AmexCo,BAC,Bancomat,Bank Americard,Carta Moneta,CartaSi,Carte Blanche,Citibank,Diners,EDC,Eurocard,JCB,Maestro,Master Card,Top Card,Visa,Visa Electron","Arabo,Francese,Inglese,Portoghese,Rumeno,Russo,Spagnolo,Svedese,Tedesco",,"Congressi capacita' Max 450,Congressi capacita' Min 10,Numero sale congressi 12",9.1607308,45.45119503,"(45.45119503, 9.1607308)"
