"idbene","categoria","denominazione","definizione","autore","epoca","provincia","siglaprovincia","comune","codicecomune","localita","indirizzo","cap","materia","misure","orarioapertura","website","tipomuseo","abstract","descrizione","notiziestoriche","compilatore","datacompilazione","uso","tipologia","searchfield","idk_sirbec","cardmusei","tiposcheda_sirbec","idbene_collezione","idbene_museo","idbene_architettura","idbene_borgo","idbene_complesso","idbene_edificio","wgs84_x","wgs84_y","location_zip","location_city","location","location_address","location_state"
"7089","Capolavori",,"tappeto","ambito Persia nord occidentale","1542 - 1543","Milano","MI","Milano","015146",,"Via Manzoni, 12","20121","cotone","682  x 355",,,,"Questo splendido tappeto presenta il tradizionale impianto a medaglione con quattro motivi angolari posti su un campo a fondo blu scuro. Il medaglione ha sedici punte con pendenti, è a fondo rosso con una complessa decorazione a uccelli e fasce di nubi, un motivo curvilineo di origine cinese, collegati da una fitta grata fiorita. Al centro del medaglione si trova una iscrizione: ""Per le fatiche di Ghyas el Din Jami quest'opera rinomata fu condotta a sì splendido compimento nell'anno 949"". Il 949, Anno dell'Egira, corrisponde al 1542-1543 d.C.. Nel campo blu sono raffigurate varie scene di caccia, uomini a cavallo con l'arco, animali selvatici e fantastici, uccelli. Si tratta della rappresentazione simbolica del giardino dell'Eden: gli animali in lotta rappresentano l'eterno combattimento tra vizio e virtù, i principi a caccia alludono invece alla ricerca di un'elevazione spirituale. Il tappeto è costituito da vari frammenti ricomposti e le parti mancanti sono state tessute a punto arazzo. Un frammento della bordura è stato recentemente donato da un generoso collezionista, Alessandro Bruschettini, e, dopo il restauro, è tornato a far parte del tappeto.",,,"Vertechy, Alessandra","2014",,,"tappeto ambito Persia nord occidentale Milano Milano","RL480-00045",,"OA","6851","6810",,,,,,,,,,,
"6962","Capolavori","Eracle e figure di divinità","altare","produzione romana","I sec. d.C. - III sec. d.C.","Milano","MI","Milano","015146",,"Corso Magenta, 15","20123","materiale laterizio cementato","82 x 69 x 107",,,,"L'altare dipinto è una delle rarissime testimonianze di pittura romana di Milano, consistenti per lo più in piccoli frammenti parietali di dimore private. In muratura ricoperta di intonaco dipinto, esso fu rinvenuto in via Circo nel 1925, rappresenta un raro esemplare databile tra la fine del I sec. d.C e gli inizi del II sec. d.C. Sulle pareti intonacate dell'ara parallelepipeda si stagliano le quattro figure incorniciate da larghe fasce rosse ed ornate da festoni vegetali in corrispondenza degli angoli superiori. Sui lati corti sono rappresentate la dea Fortuna/Abundantia e una Vittoria Alata, sui lati lunghi figurano Cerere/Terra, raffigurata semidistesa, ed Ercole. Esso era verosimilmente adibito a uso privato, come suggeriscono i soggetti rappresentati che sono tipici dei larari, tempietti collocati nelle abitazioni private, e vanno interpretati come messaggio di buon augurio, secondo un linguaggio simbolico molto diffuso a partire dall'età augustea (27 a.C.-14 d.C.). Le immagini delle tre dee sono particolarmente riprodotte sulle effigi monetali, mentre Ercole è uno degli dei più popolari del mondo romano, spesso onorato nei larari familiari. La buona qualità della pittura, così come la scelta di soggetti colti, rispecchia la raffinatezza e la cultura del committente del monumento, forse il proprietario di una delle ricche abitazioni che caratterizzano, tra il I e il III secolo d.C., il quartiere occidentale della città antica. L'altare potrebbe aver fatto parte dell'arredo di una ""domus"", ma, considerate le dimensioni, è anche possibile che fosse collocato nella sede di un ""collegium"" o corporazione di artigiani o commercianti.",,,"Vertechy, Alessandra","2014",,,"Eracle e figure di divinità produzione romana Milano Milano","G0380-00029",,"RA","6846","6803",,,,,,,,,,,
"6920","Capolavori",,"deltaplano","Icaro 2000 (1973-)","sec. XIX","Milano","MI","Milano","015146",,"Via San Vittore, 21","20123","carbonio, fibra di poliestere, ergal","cm 13,25 x 3,1",,,,"Alle 8.30 del 24 maggio 2005, Angelo D'Arrigo sorvola per la prima volta l'Everest con questo deltaplano ad ala rigida. È il nuovo record di quota nella categoria volo a vela. Prodotto dalla società italiana Icaro 2000, è dotato di telaio in fibra di carbonio, velatura in fibra di poliestere e componentistica in ergal, lega in alluminio-zinco, per un peso di soli 34 chili.",,,"Iannone, Vincenzo","2014",,"ad ala rigida","deltaplano Icaro 2000 Milano Milano","ST120-00366",,"PST","6867","6812",,,,,,,,,,,
"6811","Musei","Triennale di Milano - Triennale Design Museum","Museo, galleria non a scopo di lucro e/o raccolta",,,"Milano","MI","Milano","015146",,"Viale Alemagna, 6","20121",,,"da martedì a domenica 10.30-20.30  - giovedì 10:30-23:00","www.triennale.org","Arte","La Triennale di Milano, sorta a Monza nel 1923 come I Biennale delle arti decorative, dal 1933 ha sede a Milano nel Palazzo dell'Arte progettato da Giovanni Muzio e costruito tra l'autunno del 1931 e la primavera del 1933. L'edificio, concepito dal progettista come contenitore estremamente flessibile, rappresenta un organismo polifunzionale innovativo per l'epoca in cui fu progettato. Nata come panoramica delle arti decorative e industriali moderne, con l'intento di stimolare il rapporto tra industria, settori produttivi, arti applicate, la Triennale si è ben presto rivelata specchio della cultura artistica e architettonica in Italia e una delle maggiori sedi di confronto fra le tendenze emergenti.La Triennale di Milano è oggi l'istituzione italiana per l'architettura, le arti decorative e visive, il design, la moda e la produzione audiovisiva; è inoltre un centro di produzione culturale che organizza convegni, rassegne cinematografiche, esposizione itineranti e mostre.","Situato nella sede della Triennale di Milano, il Triennale Design Museum, offre al visitatore la possibilità di scoprire le eccellenze del design italiano. Il progetto di un Museo del Design, nome iniziale proposto per il Triennale Design Museum nato nel 2007, comprende, oltre agli spazi espositivi, la Biblioteca del Progetto, l'Archivio Storico e il Centro di Documentazione. Il progetto architettonico, la ristrutturazione del palazzo, e le opere di sistemazione e adeguamento del museo sono dell'architetto Michele De Lucchi, così come la progettazione e l'installazione del ponte d'accesso che collega il grande atrio centrale del palazzo all'entrata del museo. Il museo si rinnova ciclicamente ogni anno, con l'obiettivo, attraverso lo studio e la ricerca, di rappresentare il design italiano da punti di vista sempre differenti. La Triennale, inoltre, promuove convegni ed eventi di arte, design, architettura, moda, cinema, comunicazione e società e organizza mostre dedicate all'arte contemporanea, agli architetti e designer di fama nazionale e internazionale, ai grandi stilisti che hanno cambiato il gusto e il costume, ai temi sociali.","La Triennale di Milano nasce a Monza nel 1923 in occasione della I Biennale delle arti decorative dell'ISIA, Istituto superiore per le industrie artistiche, per essere  trasferita a Milano nel 1933, anno della costruzione del Palazzo dell'Arte ad opera dell'architetto Giovanni Muzio. La Triennale, a partire dalla sua fondazione, promuove il dialogo tra industria e arti applicate. Il ruolo innovativo dell'esposizione si è manifestato sin dalle prime esposizioni, tanto che già nell'edizione del 1933 artisti come Giorgio De Chirico, Mario Sironi, Massimo Campigli e Carlo Carrà vi partecipano esponendo le loro opere. L'attenzione alla realtà contemporanea ha coinvolto la Triennale anche nell'opera di ricostruzione post bellica, durante la quale ha assunto un ruolo preminente nella realizzazione del quartiere QT8 di Milano. Proprio da questa esperienza è nato l'interesse della Triennale per la pianificazione urbanistica e le innovazioni tecnologiche applicate all'edilizia, che diventeranno uno dei temi fondamentali degli anni cinquanta. La Triennale diventa negli stessi anni un punto di riferimento per il Disegno industriale, ospitando, tra le varie  esposizioni , quella del Premio Compasso d'oro. La Trirennale di Milano fonda nel 2007 il Triennale Design Museum, il primo museo del design italiano.","Vertechy, Alessandra","2015",,"Museo, galleria non a scopo di lucro e/o raccolta","Triennale di Milano - Triennale Design Museum  Milano Milano","RL550-15034","SI","LDC",,,,,,"9485","45.47218900122821","9.173498003116135",,,"POINT (9.173498003116 45.472189001228)",,
"6924","Capolavori",,"macchina per la colata continua","Properzi, Ilario (1897-1976)","1947 - 1948","Milano","MI","Milano","015146",,"Via San Vittore, 21","20123","acciaio/ fusione/ laminazione/ estrusione, rame/ estrusione, ghisa/ fusione","cm  220 x 180",,,,"Per secoli produrre semilavorati metallici ha significato trasformare il materiale fuso in barre o piastre, farle raffreddare, spostarle, riscaldarle e dar loro la forma finale. Pochi chili di prodotto al giorno a fronte di un grande dispendio di tempo, spazio, acqua ed energia. Nel 1948 Ilario Properzi brevetta il Continuus Properzi, un sistema capace di produrre chili di filo, con una sola macchina e in pochi minuti, a partire dal metallo fuso. Il sistema dà vita a un prodotto innovativo e fondamentale per trasportare energia elettrica, tanto che il filo di alluminio diventa per tutti il ""Properzi rod"".",,,"Iannone, Vincenzo","2014",,"per processo di colata continua e laminazione diretta","macchina per la colata continua Properzi Ilario Milano Milano","ST080-00032",,"PST","6867","6812",,,,,,,,,,,
"9479","Ville, palazzi e altri edifici civili","Palazzo della Ragione","palazzo","Croce, Francesco (sopraelevazione); Dezzi Bardeschi, Marco (costruzione: scala)","sec. XIII  secondo quarto","Milano","MI","Milano","015146",,"Piazza Mercanti","20121",,,,,,"Piazza Mercanti, oggi appartato angolo del centro storico e isola pedonale a pochi passi dal Duomo, era in origine a forma quadrata e tra il 1228 ed il 1251, su decisione dei Rettori del Comune, fu adibita a Nuovo Broletto nel centro cittadino, in sostituzione del vecchio che si trovava nell'area dove oggi sorge Palazzo Reale. ""Broletto"" deriva da Brolo, che nell'alto medioevo indicava un prato recintato o una piazza alberata, dove esercitare la giustizia. Qui si svolgeva la vita dell'antico comune ed è qui che l'attività economica e commerciale di Milano, che all'epoca contava circa 10.000 edifici e 100.000 abitanti, fiorì per molti secoli. Nel 1228 al centro della piazza iniziò la costruzione dell'attuale Palazzo della Ragione. Il progetto fu avviato dal Podestà Aliprando Fara da Brescia e inizialmente prevedeva la costruzione del solo portico aperto come luogo per assemblee, arbitraggi e ordinanze.Il Palazzo fu detto ""delle Ragioni"" perché qui si rendeva al popolo anche ragione, civile e penale, da parte dei Giudici. Nel XVI secolo il Palazzo subì numerosi adattamenti e nel 1770/73, per volere di Maria Teresa d'Austria, un ulteriore intervento opera dell'architetto Francesco Croce dotò il Palazzo dell'ultimo piano, un sopralzo ad ampie finestre ovali l'edificio divenne così sede dell'Archivio Notarile, raccogliendo tutte le carte depositate presso i notai di Milano e della provincia, destinazione questa che mantenne fino al 1961. Nel 1939 il Comune di Milano diventa proprietario del Palazzo della Ragione e negli anni Ottanta lo destina a spazio espositivo.","La descrizione del Palazzo della Ragione non può prescindere da quella di piazza Mercanti, centro politico cittadino dall'età comunale al XVIII secolo. Area che è stata sottoposta nella seconda metà dell'Ottocento ad una drastica trasformazione urbanistica che ne ha profondamente mutato l'aspetto, da recinto chiuso a spazio di attraversamento tra piazza Duomo e Cordusio. Occorre infatti, risalendo al XIII secolo, ricostituire, almeno idealmente, le chiusure alle estremità dell'attuale via Mercanti per ricollocare il broletto - palazzo della Ragione al centro di una cortina continua di costruzioni, sorta di cittadella nella quale si aprivano solo sei valichi, in corrispondenza delle sei ripartizioni cittadine. La creazione della piazza fu decisa nell'anno 1228 - sotto la podestaria di Aliprando Fara da Brescia - dai rettori del Comune, che si risolsero a costruire un nuovo broletto in sostituzione del vecchio che insisteva nell'area successivamente occupata dal palazzo di corte (poi palazzo reale). Si procedette pertanto ad acquistare da privati diverse case, ed anche un monastero, quello del Lentasio, trasferito a porta Romana. La durata del cantiere fu singolarmente breve, e nel 1233 il podestà Oldrado da Tresseno di Lodi poteva portare a compimento la costruzione, di struttura assai semplice. L'edificio condizionò la definizione dello spazio attorno a sé, attraendo progressivamente nella sua orbita le sedi delle principali magistrature cittadine. Nel 1272 vennero lastricate le strade di accesso, e Napoleone della Torre edificò sul lato settentrionale una torre. Si avvicinava però un cambio fondamentale di conduzione politica. Matteo Visconti, cacciati i Torriani, acquistò l'area delle case degli Osii per edificarvi la loggia (detta appunto degli Osii) dalla quale si proclamavano i bandi. Accanto Azzone fece costruire un portico destinato alle operazioni di banca, trasformato poi nelle Scuole palatine, riedificate nel XVII secolo. Sino alla metà del Cinquecento la piazza restò fedele alle funzioni originarie, politiche e commerciali; significative trasformazioni edilizie furono avviate con la costruzione del solenne palazzo dei Giureconsulti, voluto da Pio IV de' Medici, il cui cantiere durò circa un secolo. Sul lato opposto vennero ricostruite le Scuole palatine, con un partito intonato a quello del palazzo che tentava di dare una nuova, omogenea veste alla cortina perimetrale.Nel periodo della prima dominazione austriaca, nel XVIII secolo, il palazzo della Ragione venne sopralzato per alloggiarvi l'archivio notarile. A partire dal 1865 la piazza venne riformata in relazione al nuovo assetto di piazza Duomo e alla creazione di una strada di collegamento con la piazza Cordusio, che determinò anche lo spostamento del pozzo (poi rimontato nella rimanente porzione di piazza).La struttura dell'edificio destinato alle magistrature comunali è assai semplice. A pianta rettangolare, in cotto, presenta un piano inferiore ad arcate a tutto sesto su pilastri in pietra che sorregge l'ampia, unica sala superiore (m 50 x 18) coperta a capriate. L'accesso è consentito da un cavalcavia di collegamento dal palazzo dei Mercanti. La sala prende luce da cinque grandi trifore, asimmetriche rispetto alle arcate sottostanti oltre ad una finestrella ad arco tondo con l'altorilievo di Oldrado da Tresseno e la lapide commemorativa della costruzione a suo nome. Le finestre sono incorniciate da cordonature in cotto con arco di mattoni e di pietra e racchiudono tre archetti minori poggianti su colonne con capitelli a foglie.","Già in età romana, qui vi erano il palazzo delle ipoteche e le scuole d'umanità, frequentate anche da Virgilio. Era anche l'ubicazione della statua di Bruto, uno degli assassini di Cesare, e poi anche di Cicerone, che fu pretore a Milano, durante la repubblica.Nel 1228, il Comune decide la costruzione del nuovo recinto del broletto, con i relativi palazzi del potere pubblico sulle proprietà espropriate e sul sedime della casa-forte dei Feroldi e dell'antico monastero benedettino del Lentasio, poi trasferito nei pressi della Porta Romana.Nasceva come quadrilatero a portici, chiuso dal Palazzo della Ragione (il primo costruito), dalla Loggia degli Osii, dalle Scuole Palatine, dal palazzetto dei notai, dal palazzetto dei Giureconsulti e dove si erano concentrati i Tribunali, le sedi del Podestà, e delle Istituzioni commerciali, e dove furono ospitate le scuole del Broletto (1406). Nel Medioevo questo era il luogo della vita pubblica, politica e commerciale. Nel 1251, viene terminata la casa per gli uffici e le carceri del Podestà, che occupa il lato est del recinto e parte dei due laterali. Nel 1276 è teatro di una feroce repressione di una sommossa popolare da parte dell'anziano del popolo di Milano, Napo Torriani.Qui vi erano anche i depositi del sale, alimento tenuto in grande valore e per questo qui ben custodito. La cosa ci è nota per il fatto che furono assaltati dalle donne, nel 1302, che temevano nuove tasse dopo l'allontanamento dei Visconti e la necessità di reperire nuovi fondi.Nel XV sec., si intraprende il tentativo di conferire un ordine architettonico e un assetto urbano alla cosiddetta ""nuova corte"" quadrangolare, ben rilevabile nel lato occupato dagli Uffici dei Panigarola (palazzo dei notai).Dal 1447, inoltre qui viene istituita l'Universitas Studiorum, dopo la promulgazione della Repubblica Ambrosiana, fondata per fronteggiare l'egemonia di quella pavese e fondato il Banco di Sant'Ambrogio, istituto di credito, costituito con denari dei cittadini laici e religiosi, con sede in questa piazza fino al 1714. Alla fine del XV sec. appositi decreti ducali diedero avvio a demolizioni di logge e coperti lignei a vantaggio del decoro urbano.Nel periodo napoleonico, negli edifici della piazza sono ospitati anche le Corti d'Appello e di Cassazione, l'Archivio generale e la Camera di disciplina notarile.A metà del XIX sec. anche se non ci sono più le scuole Palatine, trasferite a Brera e poi in P.zza S. Alessandro, è comunque documentata la presenza di una scuola maschile.Nel 1865 si altera l'antico luogo, retaggio della Milano comunale: si apre la Via Mercanti congiungendo Piazza del Duomo con la piazza Cordusio, togliendo alla secolare piazza la tradizionale funzione di luogo chiuso attorno al Palazzo della Ragione; Inoltre nel 1879, il pozzo che sorgeva sull'altro lato della piazza (l'attuale Via Mercanti), venne prima portato al Monastero Maggiore e poi installato nel 1923 nel luogo dove oggi è possibile ammirarlo (le colonne sono settecentesche).Nel 1895, si compie il restauro delle Scuole Palatine, per conto della Camera di Commercio.Durante il fascismo, l'antico luogo della milanesità viene ribattezzato Piazza Giovinezza e le Scuole Palatine, nonché la Loggia degli Osii veniva occupata dal GUF (Gruppo Universitario Fascista).Dopo la seconda guerra mondiale si cominciò a parlare di un possibile ripristino delle forme precedenti al sopralzo teresiano, considerato largamente estraneo alla struttura e di nessun valore storico. A questo si aggiungevano poi oggettivi problemi legati alla staticità dell'edificio, che portarono nel 1978 alla risistemazione su progetto di Marco Dezzi Bardeschi.","Alinovi, Cristina","2015","spazio espositivo (intero bene)","palazzo","Palazzo della Ragione Croce Francesco Dezzi Bardeschi Marco  Milano Milano","LMD80-00059",,"A",,,,"9512",,,"45.46481100200836","9.187360002385118",,,"POINT (9.187360002385 45.464811002008)",,
"7047","Capolavori","guerriero","vaso","cultura Huari","500 - 900","Milano","MI","Milano","015146",,"Via Tortona, 56","20121","terracotta","cm nd  x 20",,,,"L'oggetto, dalle forme antropomorfe, raffigura un guerriero con il volto dipinto, indossa un copricapo e una veste elaborata (uncu). Come accade spesso per gli oggetti rituali nel mondo andino, il vaso in terracotta possiede un gemello, conservato anch'esso presso il Museo delle Culture. L'opera appartiene alla cultura Huari, fiorita sulle Ande tra il VI e il XIII secolo. Il manufatto proviene dalla collezione di Federico Balzarotti donata al Comune di Milano nel 2002.",,,"Vertechy, Alessandra","2014",,,"guerriero cultura Huari Milano Milano","6C040-02608",,"OA","6866","6807",,,,,,,,,,,
"6921","Capolavori",,"aeroplano","Aermacchi (1913-2003); Castoldi, Mario (1888-1968)","sec. XX","Milano","MI","Milano","015146",,"Via San Vittore, 21","20123","metallo, legno, vetro","cm 885 x 1680 x 303",,,,"Il Macchi MC 205 Veltro entra in servizio nel 1943 ed è considerato uno degli aerei della Seconda Guerra Mondiale più belli e maneggevoli. È equipaggiato con un motore da 1475 cavalli, armato con due mitragliatrici e due cannoni. Il nome Veltro ricorda il celebre cane da caccia che salverà l'Italia citato da Dante nella Divina Commedia. Il motto ""Incocca, tende, scaglia"" sulla fusoliera è ancora oggi utilizzato dalla Prima Brigata Aerea Operazioni Speciali.",,,"Iannone, Vincenzo","2014",,"militare","aeroplano Aermacchi Castoldi Mario Milano Milano","ST120-00371",,"PST","6867","6812",,,,,,,,,,,
"9568","Capolavori","Natura morta con palla","dipinto","Morandi, Giorgio (1890-1964)","sec. XX","Milano","MI","Milano","015146",,"Piazza Duomo","20121","tela/ pittura a olio","55  x 65,5",,,,"Una scatola di legno, addossata ad una parete, occupa gran parte della composizione; al suo interno si trovano alcuni oggetti sospesi: una palla, un regolo e una forma sferica che ricorda un astrolabio. La ""Natura morta con palla"" appartiene ad un insieme di diciannove opere realizzate da Morandi tra 1918 e 1919, quando l'autore aderisce alla pittura ""Metafisica"". Di proprietà del fratello Raffaello Franche, il dipinto viene esposto per la prima volta alla Quadriennale di Roma del 1939; successivamente transita nelle collezioni Valdameri e Frua De Angeli prima di entrare nella raccolta Jucker, acquistata dal Comune di Milano.",,,"Vertechy, Alessandra, Puricelli, Nadia","2015",,,"Natura morta con palla Morandi Giorgio Milano Milano","RL480-00085",,"OA","6869","6823",,,,,,,,,,,
"9524","Chiese e Abbazie","Abbazia di Chiaravalle","monastero","Pecorari, Francesco (sopraelevazione: guglia); Bramante, Donato (decorazione)","sec. XIII  inizio","Milano","MI","Milano","015146","Chiaravalle","Via S. Arialdo, 102","20139",,,,,,"Fondato nel 1135 in un'area originariamente paludosa e incolta a pochi chilometri a sud delle mura di Milano, il monastero è stato voluto da S. Bernardo e supportato da diversi benefattori e autorità.Oggi, del vasto e articolato complesso originario sopravvivono la chiesa abbaziale e il chiostro, sul quale gravitano i principali edifici monastici, come la sala capitolare, il refettorio, le residenze dei monaci, la foresteria, la biblioteca, uno scriptorium, alcune sale per ospiti e l'antico molino recentemente restaurato.","Del vasto e articolato complesso originario sopravvivono oggi la chiesa abbaziale e il chiostro, sul quale gravitano i principali edifici monastici, come la sala capitolare, il refettorio, le residenze dei monaci, la foresteria, la biblioteca, uno scriptorium, alcune sale per ospiti e l'antico molino recentemente restaurato.La distribuzione funzionale degli ambienti segue la pianta-tipo del monastero cistercense. La chiesa abbaziale è un organismo in laterizio ad andamento longitudinale, ripartito in tre navate, con ampio transetto. La facciata a capanna è frutto di un restauro stilistico condotto nei primi anni del Novecento e ha un portico addossato del XVII sec., non si sa in quale misura rielaborazione di uno più antico. La cappella absidale ha terminazione rettilinea ed è affiancata per ciascun lato da tre più basse cappelle con affaccio sul transetto.Le navate sono spartite da poderosi pilastri cilindrici (1,8 m di diametro) con base semplicissima costituita da una risega e da una modanatura a toro, priva di capitello, sostituito da una svasatura che aumenta la base d'appoggio degli archi di valico a pieno centro. L'incrocio è invece delimitato da pilastri a sezione quadrangolare (in seguito modificati), come anche la prima coppia verso la navata. Sulla parete nord sono presenti finestrelle di affaccio nel sottotetto, attualmente otturate; più in alto, da entrambi i lati, sono altre semplici finestre, una per campata. Benché il piano dei sostegni si dislochi omogeneamente, l'ossatura strutturale è a sistema alternato, con copertura a volte a crociera cupoliforme costolonate, impostate su ogni seconda coppia di pilastri. A ogni grande campata centrale corrispondono così due minori campate per lato. L'articolazione dell'interno è apprezzabile anche nell'assetto delle pareti esterne, scandite da muri di spina messi a rinforzo nei punti di maggior spinta delle volte. La critica recente ha sottolineato il legame tra tale impianto e quello di Clairvaux II, direttamente ascritto a S. Bernardo e definito ""piano bernardino"" (Romanini, 1975).Se la fase originaria della fabbrica, aderente al modello, si può individuare nel blocco del capocroce, rilevanti sono le addizioni successive, tra le quali emerge la realizzazione, al di sopra del tiburio ottagonale, della vertiginosa torre nolare risalente al secondo quarto del sec. XIV, che si sviluppa tramite due zone digradanti, pure ottagonali e di diversa altezza. Fino a raggiungere un'altezza totale dal suolo di 56,28 m.Il chiostro aderisce per un lato al fianco sud della chiesa: sul lato est si trovano la sagrestia, il dormitorio e la sala capitolare; su quello sud, con andamento perpendicolare, il refettorio e la cucina; a ovest gli ambienti destinati ai conversi. Esterno al chiostro, tra il refettorio e l'ala dei conversi, è un edificio forse destinato a officina. Del chiostro rimangono il lato settentrionale, aderente al fianco della chiesa, e due campate del braccio orientale.Addossate al transetto settentrionale sono due cappelle gentilizie edificate nell'ambito del cimitero dei monaci. A sinistra dell'ingresso è la semplice struttura in laterizi a vista della cappella di S. Bernardo, che conserva all'interno un'interessante decorazione pittorica di discussa attribuzione.Di estremo interesse è la decorazione interna del tiburio, che presenta tre serie di affreschi, frammentari e in parte piuttosto deperiti.Affacciato su un ampio cortile cintato, nel quale sorgevano la cascina e altre attrezzature, l'antico molino (sec. XII) che sfrutta le acque derivate dalla Vettabbia.L'edificio, distribuito su due piani con prospetti scanditi da bucature ad arco e monofore, comprende locali di epoche diverse, raggruppati intorno al nucleo originario ed è oggi utilizzato per visite guidate e laboratori.","Fondata da Bernardo di Chiaravalle nel 1135, per i monaci cistercensi, l'abbazia diviene da subito luogo di conversione monastica del patriziato milanese e quindi di accumulazioni fondiarie.Tra XII e XIII secolo il monastero vede confermata la protezione della Sede apostolica, in particolare con Urbano III (1187). La data di consacrazione della chiesa nel 1221 sigilla la prima campagna di lavori, durata poco meno di un secolo.Nel 1281 alla morte di Guglielma la Boema, i cistercensi considerandola donna pia, anche se in odore d'eresia, ne ospitano le spoglie in una cappella che diviene ben presto luogo di culto, frequentato da seguaci e devoti. Ma l'intervento dell'Inquisizione nel 1300 interruppe il culto e consegna al rogo le sue spoglie.All'inizio del '300 è attestata la punta massima di presenze di monaci; è anche il momento in cui, allentatosi l'originario rigore, entra e si afferma con sempre maggiore forza il complemento pittorico delle strutture architettoniche e si proietta verso l'alto la grande torre nolare all'incrocio del transetto, detta comunemente ""Ciribiciaccola"" (1347-1349).Nel 1341, per festeggiare la caduta della scomunica ai Visconti vengono commissionati gli affreschi che decorano il tiburio.Nel 1412 si costruisce la cappella di S. Bernardo, a sinistra dell'ingresso al monastero, e si concludono i lavori alla cappella della sagrestia, posizionata in corrispondenza del braccio destro del transetto meridionale, rimaneggiata nel '600 e oggi utilizzata come sacrestia.La sacrestia, concepita come cappella profonda divisa in tre parti con tre campate differenti e illuminata sole due finestre ogivali poste nelle pareti diagonali nell'abside, costituisce un prototipo per tutta una serie di cappelle rinascimentali successive, da quella Borromeo in S. Maria Podone alla cappella ducale in S. Gottardo, dove lavora per il campanile lo stesso Pecorari a cui è attribuita la guglia dell'Abbazia.Nello stesso periodo, sempre grazie alla liberalità dell'abate Antonio Fontana, vengono edificati l'oratorio di S. Bernardo, alla destra dell'ingresso principale, e la foresteria, che occupava l'edificio d'ingresso, lungo il corso della Vettabbia.Nel 1442, l'Abbazia fu trasformata in Commenda e le elevate rendite permisero di mettere mano al tiburio, che necessitava di importanti interventi di consolidamento, con la costruzioni di 4 arconi a sesto acuto, soluzione identica a quella usata dai Solari alla Certosa di Pavia e nel Duomo di Milano.Nel 1470 viene rimaneggiata la foresteria a spese di Filippo Archinto, come ricorda la scritta di una lapide letta dal Caffi.Nel 1490, viene chiamato Bramante a dipingere il Cristo alla colonna, oggi a Brera.Tra la fine del secolo e l'inizio del XVI sec. viene costruito il Dormitorio, munito di portico di distribuzione a 40 celle per i monaci più quelle per i forestieri, con la relativa scala di accesso appoggiata al muro del transetto destro. Di questo antico impianto rimangono solo le parti prossime alla sala capitolare.Negli stessi anni si comincia a edificare dietro l'abside il grande chiostro (simile a quello contemporaneo del Bramante in S. Ambrogio), rimasto incompiuto e distrutto nel 1861 per permettere i lavori della linea ferroviaria Milano-Genova.Il complesso ben più esteso di quello che noi conosciamo, nel 1798 viene soppresso: l'Aspar ben ne ritrae la sua estensione in una incisione dei primi dell'Ottocento, periodo in cui cominciarono mutilazioni e alienazioni.Gli stessi lavori per la costruzione del rilevato ferroviario e la risistemazione dell'antico cimitero fece in modo che ci si accorgesse di tale monumento, ridotto in condizioni misere, dando il via nel 1895 alla risistemazione dell'antico cimitero.Nel 1958, con il ritorno dei Cistercensi allontanati dal 1798, si ha la prima pietra del nuovo monastero di Chiaravalle e l'intero complesso e la zona circostante vengono sistemate sotto la direzione di Ferdinando Reggiori.","Bianchini, Fabio","2015","monastero (intero bene)","monastero","Abbazia di Chiaravalle Pecorari Francesco Bramante Donato  Milano Milano","LMD80-00056",,"A",,,,,,,"45.41602661721478","9.236914669413233",,,"POINT (9.236914669413 45.416026617215)",,
